"","x","y","pop"
"4429",113.920833333777,22.7624999994671,2571
"4430",113.929166667113,22.7624999994671,2504
"4431",113.937500000449,22.7624999994671,13095
"4432",113.945833333784,22.7624999994671,5628
"4433",113.95416666712,22.7624999994671,1655
"4434",113.962500000455,22.7624999994671,162
"4435",113.970833333791,22.7624999994671,74
"4436",113.979166667127,22.7624999994671,167
"4437",113.987500000462,22.7624999994671,479
"4438",113.995833333798,22.7624999994671,18
"4439",114.004166667134,22.7624999994671,17
"4440",114.012500000469,22.7624999994671,42
"4441",114.020833333805,22.7624999994671,481
"4442",114.02916666714,22.7624999994671,1965
"4443",114.037500000476,22.7624999994671,540
"4463",114.204166667188,22.7624999994671,35
"4464",114.212500000524,22.7624999994671,23
"4465",114.22083333386,22.7624999994671,71
"4466",114.229166667195,22.7624999994671,154
"4467",114.237500000531,22.7624999994671,1522
"4468",114.245833333866,22.7624999994671,1572
"4469",114.254166667202,22.7624999994671,88
"4470",114.262500000538,22.7624999994671,152
"4471",114.270833333873,22.7624999994671,1790
"4472",114.279166667209,22.7624999994671,5729
"4473",114.287500000545,22.7624999994671,5082
"4474",114.29583333388,22.7624999994671,14301
"4475",114.304166667216,22.7624999994671,5242
"4476",114.312500000551,22.7624999994671,1648
"4477",114.320833333887,22.7624999994671,1014
"4478",114.329166667223,22.7624999994671,722
"4479",114.337500000558,22.7624999994671,209
"4480",114.345833333894,22.7624999994671,540
"4481",114.354166667229,22.7624999994671,2581
"4482",114.362500000565,22.7624999994671,1808
"4483",114.370833333901,22.7624999994671,1766
"4485",114.387500000572,22.7624999994671,2080
"4486",114.395833333908,22.7624999994671,6415
"4487",114.404166667243,22.7624999994671,14027
"4488",114.412500000579,22.7624999994671,4839
"4559",113.787500000408,22.7541666661382,1797
"4560",113.795833333743,22.7541666661382,487
"4561",113.804166667079,22.7541666661382,14889
"4562",113.812500000414,22.7541666661382,15439
"4563",113.82083333375,22.7541666661382,15546
"4564",113.829166667086,22.7541666661382,23272
"4565",113.837500000421,22.7541666661382,9161
"4566",113.845833333757,22.7541666661382,16279
"4567",113.854166667092,22.7541666661382,10115
"4568",113.862500000428,22.7541666661382,2219
"4569",113.870833333764,22.7541666661382,1975
"4570",113.879166667099,22.7541666661382,1554
"4571",113.887500000435,22.7541666661382,2281
"4572",113.895833333771,22.7541666661382,10276
"4573",113.904166667106,22.7541666661382,12298
"4574",113.912500000442,22.7541666661382,26223
"4575",113.920833333777,22.7541666661382,1209
"4576",113.929166667113,22.7541666661382,10769
"4577",113.937500000449,22.7541666661382,2251
"4578",113.945833333784,22.7541666661382,21135
"4579",113.95416666712,22.7541666661382,480
"4580",113.962500000455,22.7541666661382,44
"4581",113.970833333791,22.7541666661382,34
"4582",113.979166667127,22.7541666661382,14
"4583",113.987500000462,22.7541666661382,25
"4584",113.995833333798,22.7541666661382,20
"4585",114.004166667134,22.7541666661382,40
"4586",114.012500000469,22.7541666661382,215
"4587",114.020833333805,22.7541666661382,1212
"4588",114.02916666714,22.7541666661382,11185
"4589",114.037500000476,22.7541666661382,545
"4590",114.045833333812,22.7541666661382,1002
"4591",114.054166667147,22.7541666661382,472
"4610",114.212500000524,22.7541666661382,917
"4611",114.22083333386,22.7541666661382,6914
"4612",114.229166667195,22.7541666661382,1474
"4613",114.237500000531,22.7541666661382,12457
"4614",114.245833333866,22.7541666661382,5719
"4615",114.254166667202,22.7541666661382,769
"4616",114.262500000538,22.7541666661382,732
"4617",114.270833333873,22.7541666661382,5348
"4618",114.279166667209,22.7541666661382,5814
"4619",114.287500000545,22.7541666661382,4326
"4620",114.29583333388,22.7541666661382,535
"4621",114.304166667216,22.7541666661382,244
"4622",114.312500000551,22.7541666661382,1253
"4623",114.320833333887,22.7541666661382,126
"4624",114.329166667223,22.7541666661382,37
